province,year,month,n_events_mm,onset_mm,n_events_acled,onset_acled,source
Hormozgan,2013,5,0.0,0.0,,,MM
Hormozgan,2013,6,0.0,0.0,,,MM
Hormozgan,2013,7,0.0,0.0,,,MM
Hormozgan,2013,8,0.0,0.0,,,MM
Hormozgan,2013,9,0.0,0.0,,,MM
Hormozgan,2013,10,0.0,0.0,,,MM
Hormozgan,2013,11,0.0,0.0,,,MM
Hormozgan,2013,12,0.0,0.0,,,MM
Hormozgan,2014,1,0.0,0.0,,,MM
Hormozgan,2014,2,0.0,0.0,,,MM
Hormozgan,2014,3,0.0,0.0,,,MM
Hormozgan,2014,4,0.0,0.0,,,MM
Hormozgan,2014,5,0.0,0.0,,,MM
Hormozgan,2014,6,0.0,0.0,,,MM
Hormozgan,2014,7,0.0,0.0,,,MM
Hormozgan,2014,8,0.0,0.0,,,MM
Hormozgan,2014,9,0.0,0.0,,,MM
Hormozgan,2014,10,0.0,0.0,,,MM
Hormozgan,2014,11,0.0,0.0,,,MM
Hormozgan,2014,12,0.0,0.0,,,MM
Hormozgan,2015,1,0.0,0.0,,,MM
Hormozgan,2015,2,0.0,0.0,,,MM
Hormozgan,2015,3,0.0,0.0,,,MM
Hormozgan,2015,4,0.0,0.0,,,MM
Hormozgan,2015,5,0.0,0.0,,,MM
Hormozgan,2015,6,0.0,0.0,,,MM
Hormozgan,2015,7,0.0,0.0,,,MM
Hormozgan,2015,8,0.0,0.0,,,MM
Hormozgan,2015,9,0.0,0.0,,,MM
Hormozgan,2015,10,0.0,0.0,,,MM
Hormozgan,2015,11,0.0,0.0,,,MM
Hormozgan,2015,12,0.0,0.0,,,MM
Hormozgan,2016,1,0.0,0.0,0.0,0.0,MM+ACLED
Hormozgan,2016,2,0.0,0.0,1.0,1.0,MM+ACLED
Hormozgan,2016,3,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2016,4,0.0,0.0,10.0,0.0,MM+ACLED
Hormozgan,2016,5,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2016,6,0.0,0.0,4.0,0.0,MM+ACLED
Hormozgan,2016,7,0.0,0.0,2.0,0.0,MM+ACLED
Hormozgan,2016,8,0.0,0.0,6.0,0.0,MM+ACLED
Hormozgan,2016,9,0.0,0.0,0.0,0.0,MM+ACLED
Hormozgan,2016,10,0.0,0.0,6.0,0.0,MM+ACLED
Hormozgan,2016,11,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2016,12,0.0,0.0,4.0,0.0,MM+ACLED
Hormozgan,2017,1,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2017,2,0.0,0.0,7.0,0.0,MM+ACLED
Hormozgan,2017,3,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2017,4,0.0,0.0,0.0,0.0,MM+ACLED
Hormozgan,2017,5,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2017,6,0.0,0.0,2.0,0.0,MM+ACLED
Hormozgan,2017,7,0.0,0.0,3.0,0.0,MM+ACLED
Hormozgan,2017,8,0.0,0.0,7.0,0.0,MM+ACLED
Hormozgan,2017,9,0.0,0.0,2.0,0.0,MM+ACLED
Hormozgan,2017,10,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2017,11,0.0,0.0,3.0,0.0,MM+ACLED
Hormozgan,2017,12,2.0,1.0,4.0,0.0,MM+ACLED
Hormozgan,2018,1,1.0,1.0,3.0,0.0,MM+ACLED
Hormozgan,2018,2,0.0,0.0,3.0,0.0,MM+ACLED
Hormozgan,2018,3,1.0,1.0,0.0,0.0,MM+ACLED
Hormozgan,2018,4,0.0,0.0,6.0,0.0,MM+ACLED
Hormozgan,2018,5,0.0,0.0,4.0,0.0,MM+ACLED
Hormozgan,2018,6,1.0,1.0,4.0,0.0,MM+ACLED
Hormozgan,2018,7,0.0,0.0,0.0,0.0,MM+ACLED
Hormozgan,2018,8,1.0,1.0,2.0,0.0,MM+ACLED
Hormozgan,2018,9,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2018,10,0.0,0.0,3.0,0.0,MM+ACLED
Hormozgan,2018,11,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2018,12,1.0,1.0,0.0,0.0,MM+ACLED
Hormozgan,2019,1,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2019,2,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2019,3,0.0,0.0,3.0,0.0,MM+ACLED
Hormozgan,2019,4,0.0,0.0,0.0,0.0,MM+ACLED
Hormozgan,2019,5,0.0,0.0,11.0,0.0,MM+ACLED
Hormozgan,2019,6,0.0,0.0,0.0,0.0,MM+ACLED
Hormozgan,2019,7,0.0,0.0,4.0,0.0,MM+ACLED
Hormozgan,2019,8,0.0,0.0,0.0,0.0,MM+ACLED
Hormozgan,2019,9,0.0,0.0,2.0,0.0,MM+ACLED
Hormozgan,2019,10,0.0,0.0,5.0,0.0,MM+ACLED
Hormozgan,2019,11,4.0,1.0,4.0,0.0,MM+ACLED
Hormozgan,2019,12,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2020,1,0.0,0.0,5.0,0.0,MM+ACLED
Hormozgan,2020,2,0.0,0.0,4.0,0.0,MM+ACLED
Hormozgan,2020,3,0.0,0.0,2.0,0.0,MM+ACLED
Hormozgan,2020,4,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2020,5,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2020,6,0.0,0.0,3.0,0.0,MM+ACLED
Hormozgan,2020,7,0.0,0.0,5.0,0.0,MM+ACLED
Hormozgan,2020,8,0.0,0.0,6.0,0.0,MM+ACLED
Hormozgan,2020,9,0.0,0.0,1.0,0.0,MM+ACLED
Hormozgan,2020,10,0.0,0.0,2.0,0.0,MM+ACLED
Hormozgan,2020,11,0.0,0.0,5.0,0.0,MM+ACLED
Hormozgan,2020,12,0.0,0.0,10.0,0.0,MM+ACLED
Hormozgan,2021,1,,,2.0,0.0,ACLED
Hormozgan,2021,2,,,4.0,0.0,ACLED
Hormozgan,2021,3,,,5.0,0.0,ACLED
Hormozgan,2021,4,,,3.0,0.0,ACLED
Hormozgan,2021,5,,,8.0,0.0,ACLED
Hormozgan,2021,6,,,2.0,0.0,ACLED
Hormozgan,2021,7,,,1.0,0.0,ACLED
Hormozgan,2021,8,,,3.0,0.0,ACLED
Hormozgan,2021,9,,,3.0,0.0,ACLED
Hormozgan,2021,10,,,3.0,0.0,ACLED
Hormozgan,2021,11,,,4.0,0.0,ACLED
Hormozgan,2021,12,,,18.0,0.0,ACLED
Hormozgan,2022,1,,,11.0,0.0,ACLED
Hormozgan,2022,2,,,7.0,0.0,ACLED
Hormozgan,2022,3,,,3.0,0.0,ACLED
Hormozgan,2022,4,,,3.0,0.0,ACLED
Hormozgan,2022,5,,,3.0,0.0,ACLED
Hormozgan,2022,6,,,10.0,0.0,ACLED
Hormozgan,2022,7,,,6.0,0.0,ACLED
Hormozgan,2022,8,,,5.0,0.0,ACLED
Hormozgan,2022,9,,,7.0,0.0,ACLED
Hormozgan,2022,10,,,19.0,0.0,ACLED
Hormozgan,2022,11,,,8.0,0.0,ACLED
Hormozgan,2022,12,,,8.0,0.0,ACLED
Ilam,2005,1,0.0,0.0,,,MM
Ilam,2005,2,0.0,0.0,,,MM
Ilam,2005,3,0.0,0.0,,,MM
Ilam,2005,4,0.0,0.0,,,MM
Ilam,2005,5,0.0,0.0,,,MM
Ilam,2005,6,0.0,0.0,,,MM
Ilam,2005,7,0.0,0.0,,,MM
Ilam,2005,8,0.0,0.0,,,MM
Ilam,2005,9,0.0,0.0,,,MM
Ilam,2005,10,0.0,0.0,,,MM
Ilam,2005,11,0.0,0.0,,,MM
Ilam,2005,12,0.0,0.0,,,MM
Ilam,2006,1,0.0,0.0,,,MM
Ilam,2006,2,0.0,0.0,,,MM
Ilam,2006,3,0.0,0.0,,,MM
Ilam,2006,4,0.0,0.0,,,MM
Ilam,2006,5,0.0,0.0,,,MM
Ilam,2006,6,0.0,0.0,,,MM
Ilam,2006,7,0.0,0.0,,,MM
Ilam,2006,8,0.0,0.0,,,MM
Ilam,2006,9,0.0,0.0,,,MM
Ilam,2006,10,0.0,0.0,,,MM
Ilam,2006,11,0.0,0.0,,,MM
Ilam,2006,12,0.0,0.0,,,MM
Ilam,2007,1,0.0,0.0,,,MM
Ilam,2007,2,0.0,0.0,,,MM
Ilam,2007,3,0.0,0.0,,,MM
Ilam,2007,4,0.0,0.0,,,MM
Ilam,2007,5,0.0,0.0,,,MM
Ilam,2007,6,0.0,0.0,,,MM
Ilam,2007,7,0.0,0.0,,,MM
Ilam,2007,8,0.0,0.0,,,MM
Ilam,2007,9,0.0,0.0,,,MM
Ilam,2007,10,0.0,0.0,,,MM
Ilam,2007,11,0.0,0.0,,,MM
Ilam,2007,12,0.0,0.0,,,MM
Ilam,2008,1,0.0,0.0,,,MM
Ilam,2008,2,0.0,0.0,,,MM
Ilam,2008,3,0.0,0.0,,,MM
Ilam,2008,4,0.0,0.0,,,MM
Ilam,2008,5,0.0,0.0,,,MM
Ilam,2008,6,0.0,0.0,,,MM
Ilam,2008,7,0.0,0.0,,,MM
Ilam,2008,8,0.0,0.0,,,MM
Ilam,2008,9,0.0,0.0,,,MM
Ilam,2008,10,1.0,1.0,,,MM
Ilam,2008,11,0.0,0.0,,,MM
Ilam,2008,12,0.0,0.0,,,MM
Ilam,2009,1,0.0,0.0,,,MM
Ilam,2009,2,0.0,0.0,,,MM
Ilam,2009,3,0.0,0.0,,,MM
Ilam,2009,4,0.0,0.0,,,MM
Ilam,2009,5,0.0,0.0,,,MM
Ilam,2009,6,0.0,0.0,,,MM
Ilam,2009,7,0.0,0.0,,,MM
Ilam,2009,8,0.0,0.0,,,MM
Ilam,2009,9,1.0,1.0,,,MM
Ilam,2009,10,0.0,0.0,,,MM
Ilam,2009,11,0.0,0.0,,,MM
Ilam,2009,12,1.0,1.0,,,MM
